house_id,size_sqft,bedrooms,age,distance_city_km,price
1,2900.0,1,68.0,43.67,374635.51
2,3243.0,5,60.0,32.22,464395.45
3,587.0,6,1.0,19.33,135920.06
4,3492.0,3,26.0,25.38,510385.77
5,3639.0,3,37.0,19.51,550330.2
6,3787.0,1,10.0,6.49,562724.84
7,3055.0,5,33.0,6.52,502929.28
8,3547.0,1,39.0,18.84,495567.61
9,1077.0,0,11.0,25.66,109684.2
10,3226.0,6,23.0,4.3,492452.13
11,625.0,0,60.0,40.84,27624.05
12,3057.0,0,20.0,39.36,391265.77
13,2702.0,1,8.0,28.88,391811.96
14,911.0,3,27.0,,160395.6
15,675.0,3,2.0,29.73,118491.43
16,585.0,1,24.0,45.96,50177.95
17,2866.0,0,-3.0,5.81,404801.08
18,1846.0,2,38.0,7.36,264503.07
19,3115.0,0,42.0,22.87,430946.78
20,3579.0,3,7.0,16.81,571344.68
21,2227.0,6,5.0,11.11,364259.7
22,2978.0,1,39.0,41.41,376955.85
23,3905.0,1,20.0,44.81,565848.46
24,1043.0,4,4.0,40.06,157922.32
25,1118.0,3,7.0,46.75,155925.44
26,3508.0,6,33.0,33.88,542808.19
27,499.0,2,7.0,33.99,46333.33
28,3433.0,2,66.0,24.16,479336.23
29,2264.0,6,58.0,2.04,360668.31
30,2175.0,7,66.0,2.52,374546.9
31,2880.0,,-4.0,32.26,379573.9
32,1999.0,4,31.0,48.33,294838.91
33,1656.0,4,62.0,46.73,198396.64
34,3037.0,0,6.0,36.44,413114.92
35,1534.0,2,42.0,20.24,200980.11
36,3175.0,2,23.0,18.13,465360.07
37,892.0,1,68.0,23.27,66720.21
38,2760.0,7,46.0,4.44,452807.32
39,2762.0,7,23.0,22.53,453986.21
40,3346.0,7,4.0,9.03,577552.53
41,3720.0,2,49.0,36.72,499063.8
42,2648.0,6,-3.0,18.52,453154.82
43,3953.0,7,-2.0,47.48,617812.23
44,1986.0,0,18.0,24.86,259126.01
45,2887.0,4,4.0,28.13,475051.0
46,3494.0,5,28.0,43.62,512692.0
47,577.0,3,67.0,10.92,62617.25
48,713.0,6,-3.0,17.54,156175.12
49,1448.0,6,63.0,25.94,213495.77
50,2017.0,3,0.0,30.72,303911.93
51,685.0,3,17.0,17.18,107577.92
52,1376.0,0,26.0,43.28,160459.23
53,1240.0,7,9.0,12.22,255415.79
54,2067.0,0,62.0,13.07,230061.6
55,538.0,7,32.0,15.09,133052.31
56,876.0,4,19.0,9.29,148054.17
57,1902.0,4,54.0,4.95,284398.08
58,3509.0,6,69.0,28.6,558017.81
59,"1,000",1,64.0,49.71,41823.76
60,1188.0,0,15.0,12.63,162395.1
61,2494.0,7,16.0,2.48,425908.86
62,1811.0,5,68.0,6.18,262402.26
63,3891.0,1,42.0,32.38,530207.77
64,2562.0,3,46.0,28.54,369663.21
65,2675.0,3,1.0,41.42,392415.96
66,966.0,5,7.0,11.91,154973.75
67,2920.0,3,0.0,46.3,426036.63
68,1982.0,1,51.0,1.03,289850.47
69,1771.0,6,40.0,33.54,268559.44
70,2953.0,2,14.0,13.46,461102.17
71,3877.0,4,43.0,44.67,549635.74
72,2174.0,4,27.0,5.09,360438.97
73,2365.0,5,5.0,25.71,377462.54
74,3486.0,1,55.0,1.97,510528.82
75,2468.0,1,53.0,25.49,305865.25
76,932.0,2,61.0,49.19,
77,923.0,3,19.0,35.07,144578.21
78,1605.0,5,12.0,30.59,239164.61
79,3144.0,1,46.0,26.77,432570.8
80,2973.0,7,59.0,30.38,433380.28
81,2066.0,3,20.0,48.74,281914.58
82,3619.0,2,65.0,10.6,514124.26
83,2566.0,4,18.0,17.85,406208.65
84,2317.0,1,-3.0,43.0,318535.11
85,3058.0,6,15.0,22.96,499016.34
86,1319.0,7,45.0,17.37,226747.25
87,2984.0,2,50.0,20.57,443114.16
88,2641.0,7,7.0,10.62,472741.3
89,1306.0,1,42.0,9.77,168784.49
90,518.0,0,-1.0,46.58,25915.78
91,2662.0,7,57.0,4.56,441585.06
92,2252.0,0,6.0,35.11,298364.58
93,,6,1.0,44.48,2606.3
94,962.0,4,20.0,20.45,163112.84
95,2033.0,7,7.0,15.54,356255.64
96,1389.0,3,3.0,24.92,204927.94
97,2904.0,5,-3.0,31.4,467194.9
98,2598.0,5,1.0,33.45,427372.62
99,915.0,1,35.0,35.81,96023.1
100,1978.0,2,68.0,32.38,229877.59
101,1835.0,3,25.0,17.49,277196.53
102,2809.0,1,3.0,45.41,374367.56
